id_origin;origin;id_destination;destination;distance; duree
71;4855 AVE.PIERRE-DE COUBERTIN;2489;300 RUE SAULNIER;27679;1507
2489;300 RUE SAULNIER;72;PEEL & WILLIAM;3594087;119297
72;PEEL & WILLIAM;2489;300 RUE SAULNIER;3597044;118889
2489;300 RUE SAULNIER;73;50 RUE DE BRESOLE;31115;2014
73;50 RUE DE BRESOLE;2489;300 RUE SAULNIER;30531;1716
2489;300 RUE SAULNIER;74;420 AVENUE VIGER E;31403;1721
74;420 AVENUE VIGER E;2489;300 RUE SAULNIER;29750;1476
2489;300 RUE SAULNIER;75;PEEL & ST-JACQUES;3594087;119297
75;PEEL & ST-JACQUES;2489;300 RUE SAULNIER;3597044;118889
2489;300 RUE SAULNIER;76;1570 RUE ANNIE;53534;2299
76;1570 RUE ANNIE;2489;300 RUE SAULNIER;55290;2595
2489;300 RUE SAULNIER;77;4200 STE-ANGELIQUE;64769;2831
77;4200 STE-ANGELIQUE;2489;300 RUE SAULNIER;64853;2700
2489;300 RUE SAULNIER;78;8500 BOUL. VIAU;20675;1058
78;8500 BOUL. VIAU;2489;300 RUE SAULNIER;24265;1283
2489;300 RUE SAULNIER;79;2300 TUPPER;29001;1702
79;2300 TUPPER;2489;300 RUE SAULNIER;27325;1434
2489;300 RUE SAULNIER;80;RUE PANAMA;40979;1911
80;RUE PANAMA;2489;300 RUE SAULNIER;36109;1826
2489;300 RUE SAULNIER;82;1999 WILLIAM;29278;1868
82;1999 WILLIAM;2489;300 RUE SAULNIER;28577;1652
2489;300 RUE SAULNIER;83;6795 MARCONI;13141;1440
83;6795 MARCONI;2489;300 RUE SAULNIER;18535;1283
2489;300 RUE SAULNIER;84;1 RUE DU PORT;31301;1972
84;1 RUE DU PORT;2489;300 RUE SAULNIER;30532;1625
2489;300 RUE SAULNIER;85;75 RUE ST-LAURENT VIVA CITE;57120;2929
85;75 RUE ST-LAURENT VIVA CITE;2489;300 RUE SAULNIER;60232;2864
2489;300 RUE SAULNIER;86;420 BOULEVARD ST-FRANCIS;40640;2021
86;420 BOULEVARD ST-FRANCIS;2489;300 RUE SAULNIER;39009;1807
2489;300 RUE SAULNIER;87;27 RUE ST-LOUIS;37915;1655
87;27 RUE ST-LOUIS;2489;300 RUE SAULNIER;40208;1970
2489;300 RUE SAULNIER;88;7275 JOHN MOLSON (ROMEO VACHON);30379;1430
88;7275 JOHN MOLSON (ROMEO VACHON);2489;300 RUE SAULNIER;26543;1340
2489;300 RUE SAULNIER;89;8100 RUE CHATEAUBRIAND;10609;1013
89;8100 RUE CHATEAUBRIAND;2489;300 RUE SAULNIER;18498;1077
2489;300 RUE SAULNIER;90;10220 BOUL. ST-LAURENT;8877;728
90;10220 BOUL. ST-LAURENT;2489;300 RUE SAULNIER;7691;961
2489;300 RUE SAULNIER;91;9355 DE GALINEE;8105;727
91;9355 DE GALINEE;2489;300 RUE SAULNIER;10607;1002
2489;300 RUE SAULNIER;92;1011 SHEVCHENKO;31785;1931
92;1011 SHEVCHENKO;2489;300 RUE SAULNIER;32691;1839
2489;300 RUE SAULNIER;93;29 BOUL.GEORGES GAGNE SUD;52866;2254
93;29 BOUL.GEORGES GAGNE SUD;2489;300 RUE SAULNIER;42115;2263
2489;300 RUE SAULNIER;94;2601 RUE WILLIAM-TREMBLAY;15203;1629
94;2601 RUE WILLIAM-TREMBLAY;2489;300 RUE SAULNIER;17081;1895
2489;300 RUE SAULNIER;95;7900 RUE DES QUATRES VENTS;13871;827
95;7900 RUE DES QUATRES VENTS;2489;300 RUE SAULNIER;17210;1048
2489;300 RUE SAULNIER;96;1442 RUE CLARK;16770;1987
96;1442 RUE CLARK;2489;300 RUE SAULNIER;30838;1717
2489;300 RUE SAULNIER;97;300 BRIDGE;1357835;46734
97;300 BRIDGE;2489;300 RUE SAULNIER;1359219;46788
2489;300 RUE SAULNIER;98;455 BOUL DES PRAIRIES;10844;771
98;455 BOUL DES PRAIRIES;2489;300 RUE SAULNIER;9124;607
2489;300 RUE SAULNIER;99;2150 STE-CATHERINE-EST;28818;1604
99;2150 STE-CATHERINE-EST;2489;300 RUE SAULNIER;31371;1758
2489;300 RUE SAULNIER;100;7243 BOYER;11535;1107
100;7243 BOYER;2489;300 RUE SAULNIER;19307;1161
2489;300 RUE SAULNIER;101;A VENIR;10919;1022
101;A VENIR;2489;300 RUE SAULNIER;18970;1122
2489;300 RUE SAULNIER;102;6953 DE L'EPEE;19133;1300
102;6953 DE L'EPEE;2489;300 RUE SAULNIER;17578;1158
2489;300 RUE SAULNIER;103;3300 HAUT ST-FRANCOIS;4234;310
103;3300 HAUT ST-FRANCOIS;2489;300 RUE SAULNIER;7349;583
2489;300 RUE SAULNIER;104;550 DESLAURIERS;15682;963
104;550 DESLAURIERS;2489;300 RUE SAULNIER;14784;811
2489;300 RUE SAULNIER;105;230 RUE NOTRE-DAME;32513;1475
105;230 RUE NOTRE-DAME;2489;300 RUE SAULNIER;35527;1701
2489;300 RUE SAULNIER;106;2261 BARROT;21710;1396
106;2261 BARROT;2489;300 RUE SAULNIER;23687;1522
2489;300 RUE SAULNIER;107;2271 BARROT;21710;1396
107;2271 BARROT;2489;300 RUE SAULNIER;23687;1522
2489;300 RUE SAULNIER;109;RUE BORDEAUX;12425;1314
109;RUE BORDEAUX;2489;300 RUE SAULNIER;14812;1537
2489;300 RUE SAULNIER;110;2225 FRANCIS HUGHES;5470;575
110;2225 FRANCIS HUGHES;2489;300 RUE SAULNIER;4081;350
2489;300 RUE SAULNIER;111;2225 AVE FRANCIS-HUGUES;5470;575
111;2225 AVE FRANCIS-HUGUES;2489;300 RUE SAULNIER;4081;350
2489;300 RUE SAULNIER;112;1600 TRANSCANADIENNE;23973;1295
112;1600 TRANSCANADIENNE;2489;300 RUE SAULNIER;22756;1051
2489;300 RUE SAULNIER;113;370 BACK BUSH;91541;3690
113;370 BACK BUSH;2489;300 RUE SAULNIER;72848;3610
2489;300 RUE SAULNIER;114;5950 BOUL CAVENDISH;24811;1832
114;5950 BOUL CAVENDISH;2489;300 RUE SAULNIER;23035;1693
2489;300 RUE SAULNIER;115;256 NOTRE-DAME;32250;1434
115;256 NOTRE-DAME;2489;300 RUE SAULNIER;35263;1626
2489;300 RUE SAULNIER;116;7572 BLOOMFIELD;18345;1184
116;7572 BLOOMFIELD;2489;300 RUE SAULNIER;17379;1119
2489;300 RUE SAULNIER;117;30 GRAND MARAIS;56372;3060
117;30 GRAND MARAIS;2489;300 RUE SAULNIER;58889;2822
2489;300 RUE SAULNIER;118;4700 RUE ST-AMBOISE;28921;1770
118;4700 RUE ST-AMBOISE;2489;300 RUE SAULNIER;25326;1431
2489;300 RUE SAULNIER;119;CH ST-FRANCOIS XAVIER;52694;2202
119;CH ST-FRANCOIS XAVIER;2489;300 RUE SAULNIER;48528;2240
2489;300 RUE SAULNIER;120;167 TRITON;80339;3463
120;167 TRITON;2489;300 RUE SAULNIER;80597;3366
2489;300 RUE SAULNIER;121;4700 RUE ST-AMBROISE;28921;1770
121;4700 RUE ST-AMBROISE;2489;300 RUE SAULNIER;25326;1431
2489;300 RUE SAULNIER;122;3653 AVENUE JEAN-BERAUD;7557;609
122;3653 AVENUE JEAN-BERAUD;2489;300 RUE SAULNIER;6556;443
2489;300 RUE SAULNIER;123;550 53 AVENUE;26243;1266
123;550 53 AVENUE;2489;300 RUE SAULNIER;28933;1470
2489;300 RUE SAULNIER;124;185 6E AVENUE;72037;3015
124;185 6E AVENUE;2489;300 RUE SAULNIER;72065;2883
2489;300 RUE SAULNIER;125;6818 1ERE AVENUE;11738;1212
125;6818 1ERE AVENUE;2489;300 RUE SAULNIER;14580;1552
2489;300 RUE SAULNIER;126;1314 AVE. DE LA GARE-PHASE 1;20513;822
126;1314 AVE. DE LA GARE-PHASE 1;2489;300 RUE SAULNIER;23890;1168
2489;300 RUE SAULNIER;127;31 BOUL.GEORGES GAGNE SUD;52822;2237
127;31 BOUL.GEORGES GAGNE SUD;2489;300 RUE SAULNIER;41751;2243
2489;300 RUE SAULNIER;128;4220 ROUTE 132;90772;3434
128;4220 ROUTE 132;2489;300 RUE SAULNIER;92598;3575
2489;300 RUE SAULNIER;129;RUE ST-LAURENT VIVA CITE;57120;2929
129;RUE ST-LAURENT VIVA CITE;2489;300 RUE SAULNIER;60232;2864
2489;300 RUE SAULNIER;130;1801 BOIS DES CARYERS;34967;1903
130;1801 BOIS DES CARYERS;2489;300 RUE SAULNIER;33968;1772
2489;300 RUE SAULNIER;131;1801 DES CARYERS;34967;1903
131;1801 DES CARYERS;2489;300 RUE SAULNIER;33968;1772
2489;300 RUE SAULNIER;132;5030 RUE SAINT-DENIS;14357;1623
132;5030 RUE SAINT-DENIS;2489;300 RUE SAULNIER;21364;1631
2489;300 RUE SAULNIER;133;1500 ATWATER;29408;1831
133;1500 ATWATER;2489;300 RUE SAULNIER;27385;1419
2489;300 RUE SAULNIER;134;1250 RUE GUY;29048;1758
134;1250 RUE GUY;2489;300 RUE SAULNIER;27455;1427
2489;300 RUE SAULNIER;135;3620 LORNE CRESCENT;17692;2168
135;3620 LORNE CRESCENT;2489;300 RUE SAULNIER;22154;1847
2489;300 RUE SAULNIER;136;BELLECHASSE & NORMAVILLE;291872;10400
136;BELLECHASSE & NORMAVILLE;2489;300 RUE SAULNIER;294825;10602
2489;300 RUE SAULNIER;137;BELLECHASSE & NORMANVILLE;291872;10400
137;BELLECHASSE & NORMANVILLE;2489;300 RUE SAULNIER;294825;10602
2489;300 RUE SAULNIER;138;5050 18 AVE.;13112;1349
138;5050 18 AVE.;2489;300 RUE SAULNIER;22387;1395
2489;300 RUE SAULNIER;139;776 RUE DU BRUANT;29270;1254
139;776 RUE DU BRUANT;2489;300 RUE SAULNIER;33723;1475
2489;300 RUE SAULNIER;140;2595 HENRI-BOURASSA;11352;1072
140;2595 HENRI-BOURASSA;2489;300 RUE SAULNIER;13867;780
2489;300 RUE SAULNIER;141;1429 DE LA GARE;19442;800
141;1429 DE LA GARE;2489;300 RUE SAULNIER;23039;1092
2489;300 RUE SAULNIER;142;RUE CRAIK;41187;2040
142;RUE CRAIK;2489;300 RUE SAULNIER;39642;1879
2489;300 RUE SAULNIER;143;291 JORDAN;27564;1489
143;291 JORDAN;2489;300 RUE SAULNIER;29828;1661
2489;300 RUE SAULNIER;144;301 JORDAN;21287;1336
144;301 JORDAN;2489;300 RUE SAULNIER;23281;1484
2489;300 RUE SAULNIER;145;DES COLIADES;54250;2427
145;DES COLIADES;2489;300 RUE SAULNIER;54639;2381
2489;300 RUE SAULNIER;146;2306 RUE TUPPER;29015;1707
146;2306 RUE TUPPER;2489;300 RUE SAULNIER;27311;1429
2489;300 RUE SAULNIER;147;8075 RUE HOCHELAGA;21133;1083
147;8075 RUE HOCHELAGA;2489;300 RUE SAULNIER;23416;1186
2489;300 RUE SAULNIER;148;1061 CHEMIN DUHAMEL;47268;2544
148;1061 CHEMIN DUHAMEL;2489;300 RUE SAULNIER;47102;2374
2489;300 RUE SAULNIER;149;ST-JEAN-BAPTISTE & VICTORIA;618483;22279
149;ST-JEAN-BAPTISTE & VICTORIA;2489;300 RUE SAULNIER;613198;22297
2489;300 RUE SAULNIER;150;5000 RUE MURPHY;55051;2473
150;5000 RUE MURPHY;2489;300 RUE SAULNIER;55390;2401
2489;300 RUE SAULNIER;151;860 GERARD-CADIEUX;72534;3076
151;860 GERARD-CADIEUX;2489;300 RUE SAULNIER;73134;2978
2489;300 RUE SAULNIER;152;RUE EVELYN;29013;1660
152;RUE EVELYN;2489;300 RUE SAULNIER;27731;1493
2489;300 RUE SAULNIER;153;2929 RUE VICTORIA;28028;1475
153;2929 RUE VICTORIA;2489;300 RUE SAULNIER;26486;1324
2489;300 RUE SAULNIER;154;30  RUE NAPOLEON;15392;873
154;30  RUE NAPOLEON;2489;300 RUE SAULNIER;16177;840
2489;300 RUE SAULNIER;155;COIN PHILIPPE GOULET  ET IBERVILLE;40007;1672
155;COIN PHILIPPE GOULET  ET IBERVILLE;2489;300 RUE SAULNIER;40216;1915
2489;300 RUE SAULNIER;156;2000 RUE DECELLES;20750;1341
156;2000 RUE DECELLES;2489;300 RUE SAULNIER;19564;1149
2489;300 RUE SAULNIER;157;JOB 832 RUE DES NACREES;54259;2426
157;JOB 832 RUE DES NACREES;2489;300 RUE SAULNIER;54648;2371
2489;300 RUE SAULNIER;158;51 TERRASSE MIRON;60007;2455
158;51 TERRASSE MIRON;2489;300 RUE SAULNIER;62855;2638
2489;300 RUE SAULNIER;159;DE LA ROCHE & SAINT-GREGOIRE;976216;34116
159;DE LA ROCHE & SAINT-GREGOIRE;2489;300 RUE SAULNIER;968568;34075
2489;300 RUE SAULNIER;160;1605 CEDAR;26549;1979
160;1605 CEDAR;2489;300 RUE SAULNIER;28899;1653
2489;300 RUE SAULNIER;161;10050 AVENUE DURHAM;8498;722
161;10050 AVENUE DURHAM;2489;300 RUE SAULNIER;7602;991
2489;300 RUE SAULNIER;162;5701 TRANSCANADIENNE;27194;1390
162;5701 TRANSCANADIENNE;2489;300 RUE SAULNIER;29110;1427
2489;300 RUE SAULNIER;163;215 FROBISHER;29974;1683
163;215 FROBISHER;2489;300 RUE SAULNIER;29839;1479
2489;300 RUE SAULNIER;164;CH. STE-MARIE &;138674;5094
164;CH. STE-MARIE &;2489;300 RUE SAULNIER;143580;5260
2489;300 RUE SAULNIER;165;DES SOURCES;25428;1469
165;DES SOURCES;2489;300 RUE SAULNIER;33934;1543
2489;300 RUE SAULNIER;166;VICTOR-DAVIS;30530;1462
166;VICTOR-DAVIS;2489;300 RUE SAULNIER;31034;1402
2489;300 RUE SAULNIER;167;6790 ROUTE TRANSCANADIENNE;28418;1584
167;6790 ROUTE TRANSCANADIENNE;2489;300 RUE SAULNIER;28530;1394
2489;300 RUE SAULNIER;168;CHEMIN DE LA GARE ET DE LA SARBONNE;53991;2357
168;CHEMIN DE LA GARE ET DE LA SARBONNE;2489;300 RUE SAULNIER;48411;2414
2489;300 RUE SAULNIER;170;JEAN-LEMAN & DE LA SORBONNE;50292;2280
170;JEAN-LEMAN & DE LA SORBONNE;2489;300 RUE SAULNIER;44979;2238
2489;300 RUE SAULNIER;171;AVE VICTOR DAVIS;28391;1435
171;AVE VICTOR DAVIS;2489;300 RUE SAULNIER;27023;1176
2489;300 RUE SAULNIER;172;TRANSCANADIENNE;10732;648
172;TRANSCANADIENNE;2489;300 RUE SAULNIER;11738;654
2489;300 RUE SAULNIER;173;16975 TRANSCANADIENNE;29972;1406
173;16975 TRANSCANADIENNE;2489;300 RUE SAULNIER;31536;1474
2489;300 RUE SAULNIER;174;5830-5850 RUE JARRY-EST;18903;877
174;5830-5850 RUE JARRY-EST;2489;300 RUE SAULNIER;22121;1185
2489;300 RUE SAULNIER;175;MAISONNEUVE & ST-THIMOTHEE;25572;1380
175;MAISONNEUVE & ST-THIMOTHEE;2489;300 RUE SAULNIER;28610;1623
2489;300 RUE SAULNIER;176;RUE ANN & RUE WILLIAM;32719;1998
176;RUE ANN & RUE WILLIAM;2489;300 RUE SAULNIER;28928;1737
2489;300 RUE SAULNIER;177;8880 BOUL. LEDUC;45413;2038
177;8880 BOUL. LEDUC;2489;300 RUE SAULNIER;38303;2050
2489;300 RUE SAULNIER;178;2950 RUE JARRY EST;10427;953
178;2950 RUE JARRY EST;2489;300 RUE SAULNIER;12716;1181
2489;300 RUE SAULNIER;179;7777 MARIE-VICTORIN;40811;1753
179;7777 MARIE-VICTORIN;2489;300 RUE SAULNIER;35151;1661
2489;300 RUE SAULNIER;180;4000 BOUL. LAPINIERE;44170;1983
180;4000 BOUL. LAPINIERE;2489;300 RUE SAULNIER;36969;1769
2489;300 RUE SAULNIER;181;HOCHELAGA & PIE-IX;27070;1518
181;HOCHELAGA & PIE-IX;2489;300 RUE SAULNIER;29428;1732
2489;300 RUE SAULNIER;182;2950 JARRY EST;10427;953
182;2950 JARRY EST;2489;300 RUE SAULNIER;12716;1181
2489;300 RUE SAULNIER;183;8457 12E AVENUE;10410;1126
183;8457 12E AVENUE;2489;300 RUE SAULNIER;20787;1188
2489;300 RUE SAULNIER;184;2778 PLESSIS;32254;1769
184;2778 PLESSIS;2489;300 RUE SAULNIER;35968;2101
2489;300 RUE SAULNIER;185;MR TABAC RTE 132;37329;1801
185;MR TABAC RTE 132;2489;300 RUE SAULNIER;35688;1609
2489;300 RUE SAULNIER;186;4401 RUE MOLSON;14821;1638
186;4401 RUE MOLSON;2489;300 RUE SAULNIER;17141;1902
2489;300 RUE SAULNIER;187;COIN ANDRE & HYMUS;1049676;35650
187;COIN ANDRE & HYMUS;2489;300 RUE SAULNIER;1054353;35867
2489;300 RUE SAULNIER;188;BOUL ST-CHARLES;30862;1572
188;BOUL ST-CHARLES;2489;300 RUE SAULNIER;30793;1364
2489;300 RUE SAULNIER;189;1928 ST-REGIS;23738;1173
189;1928 ST-REGIS;2489;300 RUE SAULNIER;24477;1237
2489;300 RUE SAULNIER;190;4030 BLV. CHENONCEAU;8239;747
190;4030 BLV. CHENONCEAU;2489;300 RUE SAULNIER;7195;548
